"condition","{1, {0, 0}}","{1, {0, 1}}","{1, {1, 0}}","{1, {1, 1}}","{2, {0, 0}}","{2, {0, 1}}","{2, {1, 0}}","{2, {1, 1}}","{3, {0, 0}}","{3, {0, 1}}","{3, {1, 0}}","{3, {1, 1}}","{4, {0, 0}}","{4, {0, 1}}","{4, {1, 0}}","{4, {1, 1}}"
"{False}",0,0,1,0,0,0,0,1,0,0,0,0,1,"None","None","None"
"{pbhRatio < 1 && p + pbhRatio == 1}",0,0,1,1,0,0,0,0,0,0,0,0,0,"None","None","None"
"{False}",0,0,1,1,0,0,0,0,0,0,0,0,1,"None","None","None"
"{p + pbhRatio >= 1 && 3*pbhRatio <= 4 + 2*p^2 + p*(-6 + pbhRatio)}",0,0,1,1,0,0,0,1,0,0,0,0,0,"None","None","None"
"{False}",0,0,1,1,0,0,0,1,0,0,0,0,1,"None","None","None"
"{Inequality[(-2*(2 - 3*p + p^2))/(-3 + p), LessEqual, pbhRatio, LessEqual, 2 - 2*p]}",0,0,1,1,0,0,0,1,0,0,0,1,0,"None","None","None"
"{False}",0,0,1,1,0,0,0,1,0,0,0,1,1,"None","None","None"
"{5*p + 2*pbhRatio <= 5 && (Inequality[2, LessEqual, pbhRatio, Less, 5/2] || (2*p + pbhRatio >= 2 && pbhRatio < 2))}",0,0,1,1,0,0,1,1,0,0,0,1,0,"None","None","None"
"{False}",0,0,1,1,0,0,1,1,0,0,0,1,1,"None","None","None"
"{2*pbhRatio >= 5 || 5*p + 2*pbhRatio >= 5}",0,0,1,1,0,0,1,1,0,0,1,1,0,"None","None","None"
"{False}",0,0,1,1,0,0,1,1,0,0,1,1,1,"None","None","None"
"{pbhRatio < 1 && p + pbhRatio <= 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None","None"
"{False}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,"None","None"
"{pbhRatio < 1 && p + pbhRatio == 1}",0,0,0,0,0,0,0,1,0,0,0,0,0,0,"None","None"
"{False}",0,0,0,0,0,0,0,1,0,0,0,0,0,1,"None","None"
"{pbhRatio < 1 && p + pbhRatio == 1}",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"None","None"
"{False}",0,0,0,1,0,0,0,0,0,0,0,0,0,1,"None","None"
"{pbhRatio < 1 && p + pbhRatio == 1}",0,0,0,1,0,0,0,1,0,0,0,0,0,0,"None","None"
"{False}",0,0,0,1,0,0,0,1,0,0,0,0,0,1,"None","None"
"{pbhRatio < 1 && p + pbhRatio == 1}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,"None","None"
"{False}",0,0,1,0,0,0,0,0,0,0,0,0,0,1,"None","None"
"{pbhRatio < 1 && p + pbhRatio == 1}",0,0,1,0,0,0,0,1,0,0,0,0,0,0,"None","None"
"{False}",0,0,1,0,0,0,0,1,0,0,0,0,0,1,"None","None"
"{pbhRatio < 1 && p + pbhRatio == 1}",0,0,1,1,0,0,0,0,0,0,0,0,0,0,"None","None"
"{False}",0,0,1,1,0,0,0,0,0,0,0,0,0,1,"None","None"
"{p + pbhRatio >= 1 && 3*pbhRatio <= 4 + 2*p^2 + p*(-6 + pbhRatio)}",0,0,1,1,0,0,0,1,0,0,0,0,0,0,"None","None"
"{False}",0,0,1,1,0,0,0,1,0,0,0,0,0,1,"None","None"
"{Inequality[(-2*(2 - 3*p + p^2))/(-3 + p), LessEqual, pbhRatio, LessEqual, 2 - 2*p]}",0,0,1,1,0,0,0,1,0,0,0,1,0,0,"None","None"
"{False}",0,0,1,1,0,0,0,1,0,0,0,1,0,1,"None","None"
"{2*p + pbhRatio >= 2 && 5*p + 2*pbhRatio <= 5}",0,0,1,1,0,0,1,1,0,0,0,1,0,0,"None","None"
"{False}",0,0,1,1,0,0,1,1,0,0,0,1,0,1,"None","None"
"{2*pbhRatio >= 5 || 5*p + 2*pbhRatio >= 5}",0,0,1,1,0,0,1,1,0,0,1,1,0,0,"None","None"
"{False}",0,0,1,1,0,0,1,1,0,0,1,1,0,1,"None","None"
"{pbhRatio < 1 && p + pbhRatio <= 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"{False}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"None"
"{pbhRatio < 1 && p + pbhRatio == 1}",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"None"
"{False}",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"None"
"{pbhRatio < 1 && p + pbhRatio == 1}",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"None"
"{False}",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"None"
"{pbhRatio < 1 && p + pbhRatio == 1}",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"None"
"{False}",0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,"None"
"{pbhRatio < 1 && p + pbhRatio == 1}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"{False}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"None"
"{pbhRatio < 1 && p + pbhRatio == 1}",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"None"
"{False}",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,"None"
"{pbhRatio < 1 && p + pbhRatio == 1}",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"None"
"{False}",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,"None"
"{p + pbhRatio >= 1 && 3*pbhRatio <= 4 + 2*p^2 + p*(-6 + pbhRatio)}",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,"None"
"{False}",0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,"None"
"{Inequality[(-2*(2 - 3*p + p^2))/(-3 + p), LessEqual, pbhRatio, LessEqual, 2 - 2*p]}",0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,"None"
"{False}",0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,"None"
"{5*p + 2*pbhRatio <= 5 && (Inequality[2, LessEqual, pbhRatio, Less, 5/2] || (2*p + pbhRatio >= 2 && pbhRatio < 2))}",0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,"None"
"{False}",0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,"None"
"{(2*pbhRatio >= 5 || 5*p + 2*pbhRatio >= 5) && 4*pbhRatio < 11 && 11*p + 4*pbhRatio <= 11}",0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,"None"
"{4*pbhRatio >= 11 || 11*p + 4*pbhRatio >= 11}",0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,"None"
"{pbhRatio < 1 && p + pbhRatio <= 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{False}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"{pbhRatio < 1 && p + pbhRatio == 1}",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"{False}",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"{pbhRatio < 1 && p + pbhRatio == 1}",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"{False}",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"{pbhRatio < 1 && p + pbhRatio == 1}",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"{False}",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"{pbhRatio < 1 && p + pbhRatio == 1}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"{False}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"{pbhRatio < 1 && p + pbhRatio == 1}",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"{False}",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"{pbhRatio < 1 && p + pbhRatio == 1}",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"{False}",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"{p + pbhRatio >= 1 && 3*pbhRatio <= 4 + 2*p^2 + p*(-6 + pbhRatio)}",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"{False}",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
"{Inequality[(-2*(2 - 3*p + p^2))/(-3 + p), LessEqual, pbhRatio, LessEqual, (9 - 14*p + 5*p^2)/(6 - 2*p)]}",0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
"{Inequality[(9 - 14*p + 5*p^2)/(6 - 2*p), LessEqual, pbhRatio, LessEqual, 2 - 2*p]}",0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
"{False}",0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0
"{2*p + pbhRatio >= 2 && 5*p + 2*pbhRatio <= 5}",0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1
"{False}",0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0
"{5*p + 2*pbhRatio >= 5 && 11*p + 4*pbhRatio <= 11}",0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
"{False}",0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0
"{4*pbhRatio >= 11 || 11*p + 4*pbhRatio >= 11}",0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1
