backlogging_cost,half_width,item_id,lead_time,lower,mean,stddev,upper
1000.0,1.4405156633095844,56931,1.0,447.63400983385077,449.0745254971604,7.349569710763186,450.51504116047
10000.0,1.4656336136922983,56931,1.0,550.1411362691531,551.6067698828454,7.477722518838257,553.0724034965376
1000.0,1.374002949570338,1686,1.0,335.8005746801063,337.17457762967666,7.010219130460908,338.548580579247
10000.0,1.5348185208379597,1686,1.0,409.0857341455354,410.6205526663734,7.830706738969182,412.15537118721136
1000.0,1.370859414295783,129636,1.0,289.8620331677404,291.2328925820362,6.994180685182567,292.603751996332
10000.0,1.4851838400800554,129636,1.0,350.9909375922765,352.4761214323566,7.577468571837017,353.9613052724367
1000.0,1.6411244873668782,83532,1.0,119.99693358349808,121.63805807086496,8.373084119218767,123.27918255823184
10000.0,1.463975765083095,83532,1.0,153.1070698203102,154.57104558539328,7.469264107566811,156.03502135047637
1000.0,1.7034540475746394,38262,1.0,176.85886460670105,178.56231865427569,8.691092079462445,180.26577270185032
10000.0,1.7367076217013966,38262,1.0,226.97819262212906,228.71490024383044,8.860753171945902,230.45160786553183
